Words;Meanings;Words_trimmed;Meanings_trimmed;CN_Words_NLLB;CN_Meanings_NLLB
extreem;heel erg anders dan normaal;extreem;heel erg anders dan normaal;极端;完全不同于正常的
van nature;zo ben je geboren, je kunt er niets aan veranderen;van nature;zo ben je geboren, je kunt er niets aan veranderen;它们的自然;你是这样生来的,你不能改变它.
koerste … af op;afkoersen op: ergens direct naartoe gaan;koerste … af op;afkoersen op: ergens direct naartoe gaan;走了,走了;排放率:直接去某个地方
splitsing (de);de scheiding;splitsing;de scheiding;分;离婚
zag niets in;"hij vond het een slecht idee; niets zien in iets";zag niets in;"hij vond het een slecht idee; niets zien in iets";没有看到任何东西;"他认为这是个坏主意;"
schipperaar;iemand die schippert;schipperaar;iemand die schippert;航海员;一个人飞翔
koperen;van koper gemaakt;koperen;van koper gemaakt;铜;制成的铜
op initiatief van;volgens het plan van;op initiatief van;volgens het plan van;根据;根据该计划,
juridisch;gaat over het recht;juridisch;gaat over het recht;法律上;关于法律
adviseur (de);iemand die advies geeft;adviseur;iemand die advies geeft;顾问;任何提供建议的人
navigatie (de);je plaats en richting bepalen op zee;navigatie;je plaats en richting bepalen op zee;航行;确定你在海上的位置和方向
schreef;schrijven-schreef-geschreven;schreef;schrijven-schreef-geschreven;写了;写作写作
beantwoordde;"antwoord geven; beantwoorden-beantwoordde-beantwoord";beantwoordde;antwoord geven;回答;回答
aan de wieg van;aan het begin van een ontwikkeling;aan de wieg van;aan het begin van een ontwikkeling;在子里;在发展的开始
toegang (de);toegang hebben tot: ergens kunnen of mogen gaan;toegang;toegang hebben tot: ergens kunnen of mogen gaan;访问;获得:可以或可以去任何地方
kustwateren;het water dicht bij de kust;kustwateren;het water dicht bij de kust;沿海水域;靠近海岸的水
gezag (het);"de officiële macht; onder het gezag vallen van";gezag;"de officiële macht; onder het gezag vallen van";权威;"官方权力;"
vijandige;van de vijand;vijandige;van de vijand;敌对;敌人的敌人
geniaal;erg goed bedacht;geniaal;erg goed bedacht;才华;非常精心设计
raakte verzeild in;kwam in een ongewenste situatie terecht;raakte verzeild in;kwam in een ongewenste situatie terecht;入了;遇到一个不必要的情况
was van mening;dacht, meende;was van mening;dacht, meende;曾经有过;想,想
medestanders;"iemand die het met je eens is; de medestander";medestanders;"iemand die het met je eens is; de medestander";其他成员国;任何人都同意你,
gevangengezet;"in de gevangenis zetten; gevangenzetten-zette gevangen-gevangengezet";gevangengezet;in de gevangenis zetten;被囚禁;投监狱
ontsnapte;"met succes vluchten; ontsnappen-ontsnapte-ontsnapt";ontsnapte;met succes vluchten;逃离;成功逃跑
verstopt;"verborgen; verstoppen-verstopte-verstopt";verstopt;verborgen;隐藏;隐藏
boekenkist (de);een kist is een grote houten bak;boekenkist;een kist is een grote houten bak;书柜;一个箱子是一个大木头的容器
vluchtte;"snel vertrekken omdat er gevaar is; vluchten-vluchtte-gevlucht";vluchtte;snel vertrekken omdat er gevaar is;逃跑了;由于危险,我们必须迅速离开.
invloedrijke;met veel invloed;invloedrijke;met veel invloed;影响力;具有影响力
aangetast;"zwakker gemaakt; aantasten-tastte aan-aangetast";aangetast;zwakker gemaakt;受到影响;变得更弱
gestreden;"gevochten, er werd veel moeite gedaan om dat te bereiken; strijden-streed-";gestreden;"gevochten, er werd veel moeite gedaan om dat te bereiken; strijden-streed-";战斗;为了实现这一目标,我们努力,努力,努力,努力.
gepleit;"pleiten voor: goede redenen geven voor iets; pleiten-pleitte-gepleit";gepleit;pleiten voor: goede redenen geven voor iets;要求;倡导:为什么要做事
humane;menselijk, goed voor mensen;humane;menselijk, goed voor mensen;人类;人类,对人类有益
wetsovertreders;"mensen die zich niet aan de wet houden; de wetsovertreder";wetsovertreders;"mensen die zich niet aan de wet houden; de wetsovertreder";违反法律的人;违反法律的人,违反法律的人
wetboek (het);een boek waar alle wetten over een bepaald onderwerp in staan;wetboek;een boek waar alle wetten over een bepaald onderwerp in staan;法律法典;一本书,包含有关某个问题的所有法律
monument (het);een beeld dat bedoeld is om je aan een belangrijke persoon of gebeurtenis te;monument;een beeld dat bedoeld is om je aan een belangrijke persoon of gebeurtenis te;纪念碑;图像是为了让你对一个重要的人或事件
plaatsing (de);neerzetten;plaatsing;neerzetten;位置;放下
hun leven niet zeker;"hun leven was in gevaar; je leven niet zeker zijn";hun leven niet zeker;"hun leven was in gevaar; je leven niet zeker zijn";他们生活不确定;"他们的生命在危险之中;"
gedoogde;"iets toestaan wat niet echt geaccepteerd is; gedogen-gedoogde-gedoogd";gedoogde;iets toestaan wat niet echt geaccepteerd is;除;允许一些不被真正接受的东西
mits;alleen als, onder voorwaarde;mits;alleen als, onder voorwaarde;提供;只有条件下
bemoeien;"zich bezighouden met zaken waar men niets mee te maken heeft; zich bemoeien";bemoeien;"zich bezighouden met zaken waar men niets mee te maken heeft; zich bemoeien";干涉;"无关的事情; 干涉"
schoolvoorbeeld (het);een modelvoorbeeld, een kenmerkend voorbeeld;schoolvoorbeeld;een modelvoorbeeld, een kenmerkend voorbeeld;校园的例子;一个模型,一个特征性模型
radicale;extreem;radicale;extreem;激进;极端
onpersoonlijks;het is niet verbonden aan een persoon, een menselijk wezen;onpersoonlijks;het is niet verbonden aan een persoon, een menselijk wezen;无人性;它与一个人,一个人没有联系.
natuurwetten;een regel die een vast patroon in de natuur beschrijft, de wet van Hubble, Ohm,;natuurwetten;een regel die een vast patroon in de natuur beschrijft, de wet van Hubble, Ohm,;自然法则;描述了自然界中固定的模式,哈勃定律,
wetenschap (de);"onderzoek naar hoe dingen zijn of werken; wetenschappelijk onderzoek;";wetenschap;"onderzoek naar hoe dingen zijn of werken; wetenschappelijk onderzoek;";科学;"关于事物如何运作的研究;"
onder aan (onderaan);aan de onderkant;onder aan (onderaan);aan de onderkant;底部 (下部);在下面
verwijst naar;wijzen naar iets anders, refereren;verwijst naar;wijzen naar iets anders, refereren;代表;指出其他东西,引用
betoog (het);"een lang verhaal waarmee je iets wilt bewijzen of verklaren; betogen";betoog;"een lang verhaal waarmee je iets wilt bewijzen of verklaren; betogen";辩论;"一个要证明或解释的故事;"
censuur (de);controle vanuit de overheid op teksten die volgens de overheid verboden zijn;censuur;controle vanuit de overheid op teksten die volgens de overheid verboden zijn;审查;政府对政府认为禁止的文本进行检查
minimaal;zo klein mogelijk;minimaal;zo klein mogelijk;低于;尽可能小
opgevat;"op je eigen manier begrijpen, beschouwen als; opvatten-vatte op-opgevat";opgevat;op je eigen manier begrijpen, beschouwen als;已被收录;通过自己的方式理解,
oorlogsverklaring (de);officieel meedelen dat je een oorlog wilt beginnen;oorlogsverklaring;officieel meedelen dat je een oorlog wilt beginnen;宣战;官方宣布你想开始战争
ethica;ethiek, filosofie die zich bezighoudt met wat goed en kwaad is;ethica;ethiek, filosofie die zich bezighoudt met wat goed en kwaad is;伦理;伦理,哲学,对善与恶的研究
ging het gerucht;spraken de mensen erover;ging het gerucht;spraken de mensen erover;传言传言;人们谈论了它.
gerucht (het);nieuws dat misschien (niet) waar is;gerucht;nieuws dat misschien (niet) waar is;传言;报道可能是真的
onterecht;onjuist, het klopt niet;onterecht;onjuist, het klopt niet;没有理由;错误,这是错误的
besloot;"besliste, nam de beslissing; besluiten-besloot-besloten";besloot;besliste, nam de beslissing;已决定;决定,做出决定
verscheen;"werd gepubliceerd; verschijnen-verscheen-verschenen";verscheen;werd gepubliceerd;出现;已公布
huisbaas (de);"eigenaar van een huis, van wie je een woning of kamer huurt; huisbazen";huisbaas;"eigenaar van een huis, van wie je een woning of kamer huurt; huisbazen";家庭主管;"租房或房间的房东;房东"
uitgesproken;heel erg sterk, heel erg duidelijk;uitgesproken;heel erg sterk, heel erg duidelijk;发言人;非常强烈,非常明确.
gestraft;"punished/puni/bestraft/ceza; straffen-strafte-gestraft";gestraft;punished/puni/bestraft/ceza;受到惩罚;刑/刑/刑/刑
legendes;"oude verhalen; de legende";legendes;"oude verhalen; de legende";传奇;"古代的故事;"
verhalen;"stories/histoires/Geschichten/öyküler; het verhaal";verhalen;"stories/histoires/Geschichten/öyküler; het verhaal";故事;故事/故事/故事/ 故事/ 故事
doorverteld;"aan iemand anders verteld; doorvertellen-vertelde door-doorverteld";doorverteld;aan iemand anders verteld;报道;告诉别人
opgetekend;"opgeschreven om te bewaren; optekenen-tekende op-opgetekend";opgetekend;opgeschreven om te bewaren;记录;保存的书
zeereizen;"reizen over de zee of de oceaan; de zeereis";zeereizen;"reizen over de zee of de oceaan; de zeereis";海洋旅行;"通过海或大洋旅行;海上旅行"
vissen;"vis vangen; vissen-viste-gevist";vissen;vis vangen;捕鱼;捕鱼
verzonnen;"bedacht, niet echt gebeurd; verzinnen-verzon-verzonnen";verzonnen;bedacht, niet echt gebeurd;发明;想到的,并没有真正发生
kenmerk (het);karakteristiek;kenmerk;karakteristiek;标志;标志性
waarschuwing (de);"zeggen dat er gevaar dreigt; waarschuwingen";waarschuwing;"zeggen dat er gevaar dreigt; waarschuwingen";警告;"警告危险;"
moraal (de);les;moraal;les;道德;课程
vrouwtje (het);kleine vrouw;vrouwtje;kleine vrouw;子;个小女人
zakenvrouw (de);vrouw die geld verdient in de handel;zakenvrouw;vrouw die geld verdient in de handel;商人;钱的女人
uitgestuurd;"met een boodschap weggestuurd; uitsturen-stuurde uit-uitgestuurd";uitgestuurd;met een boodschap weggestuurd;发送;带着一个消息.
kostbaarste;duurste, meest waardevolle;kostbaarste;duurste, meest waardevolle;最贵的;最昂贵,最有价值
omzwervingen;reizen, tochten overal heen;omzwervingen;reizen, tochten overal heen;曲;旅行,旅行,旅行
kapitein (de);"de baas op een schip; kapiteins";kapitein;"de baas op een schip; kapiteins";飞船长;"船上的主人;船长"
volgeladen;helemaal gevuld;volgeladen;helemaal gevuld;充满;完全填充
woedend;heel erg boos, furieus;woedend;heel erg boos, furieus;愤怒;非常愤怒,非常愤怒
teleurstelling (de);het gevoel dat iets minder goed, mooi etc. is dan je verwacht;teleurstelling;het gevoel dat iets minder goed, mooi etc. is dan je verwacht;失望;感觉到有些东西不太好,不太漂亮,不太好,不太好,不太好,不太好,不太好,不太好.
voorspelt;"zegt wat er in de toekomst zal gebeuren; voorspellen-voorspelde-voorspeld";voorspelt;zegt wat er in de toekomst zal gebeuren;预测;预言未来会发生什么
bedelen;"uit armoede om geld of eten vragen; bedelen-bedelde-gebedeld";bedelen;uit armoede om geld of eten vragen;求助;为了钱或食物而求贫困
handjevol;een beetje;handjevol;een beetje;很有力;一点
meel (het);gemalen graan waar je brood van bakt;meel;gemalen graan waar je brood van bakt;面粉;的谷物,你可以的面包
ring (de);"rond sieraad om je vinger; ringen";ring;"rond sieraad om je vinger; ringen";戒指;"围绕你的手指的珠宝;"
vinger (de);"deel van de hand; een hand heeft vijf vingers";vinger;"deel van de hand; een hand heeft vijf vingers";指;一个手有五个手指
voorgezet;"voor zich op tafel gezet, om te eten; voorzetten-zette voor-voorgezet";voorgezet;voor zich op tafel gezet, om te eten;提出;他们坐在桌子上,吃饭.
dichtslibt;"vol gegroeid met planten zodat het ondiep wordt; dichtslibben-slibde dicht-";dichtslibt;"vol gegroeid met planten zodat het ondiep wordt; dichtslibben-slibde dicht-";的;"植物丰富,使其变得不深;密,密,密,密,密,密,密,密,密,密,密,密,密,密,密,密,密,密,密,密,密,密,密,密,密,密,密,密,密,密,密,密,密,密,密,密,密,密,密,密,密,密,密,密,密,密,密,密,密,密,密,密,密,密,密,密,密,密,密,密,密,密"
uitkijkend over;met het uitzicht op;uitkijkend over;met het uitzicht op;监视;为了
geliefde;waar je heel veel van houdt;geliefde;waar je heel veel van houdt;亲爱的;你非常喜欢的
volle zee;grote, open zee;volle zee;grote, open zee;充满海;宽的海
vliegende;zich door de lucht bewegende;vliegende;zich door de lucht bewegende;飞行;飞翔的
vaart uit;"vertrekt per schip; uitvaren-vaarde uit-uitgevaren";vaart uit;vertrekt per schip;快走吧;乘船出发
kaap (de);"stuk land dat uitsteekt in zee; kapen";kaap;"stuk land dat uitsteekt in zee; kapen";;"海的土地;海"
storm (de);"zeer harde wind; stormen";storm;"zeer harde wind; stormen";风暴;极大风,风暴
zweert;"swears/jure/schwört/cerahat; belooft plechtig; zweren-zwoer-gezworen";zweert;"swears/jure/schwört/cerahat; belooft plechtig";我发誓,;"誓言/誓言/誓言/誓言;"
desnoods;als het echt moet;desnoods;als het echt moet;需要;如果真的需要
duivel (de);"het kwade, persoon die het kwaad voorstelt, tegenstander van God; duivels";duivel;"het kwade, persoon die het kwaad voorstelt, tegenstander van God; duivels";魔鬼;邪恶,想想恶,反对上帝,恶魔
voortzetten;"verdergaan; voortzetten-zette voort-voortgezet";voortzetten;verdergaan;继续;继续
stuurman (de);"de man die een schip bestuurt; stuurlui";stuurman;"de man die een schip bestuurt; stuurlui";司机;"驾驶船的人;驾驶员"
slingert;"gooit met een boog; slingeren-slingerde-geslingerd";slingert;gooit met een boog;子;投一个弓
overboord;over de rand van het schip in het water;overboord;over de rand van het schip in het water;过境;在水中,
erachteraan;na iets anders;erachteraan;na iets anders;之后;其他事情
roer (het);het stuur van een schip;roer;het stuur van een schip;轮;船舶的驾驶
schreeuwt;"roept hard en kwaad; schreeuwen-schreeuwde-geschreeuwd";schreeuwt;roept hard en kwaad;喊着;喊着喊,喊着喊
al;zelfs als;al;zelfs als;已;即使是
doorvaren;verder varen;doorvaren;verder varen;航;继续航行
ziel (de);"soul/âme/Sehle/ruh; zielen";ziel;"soul/âme/Sehle/ruh; zielen";灵魂;灵魂/灵魂/灵魂/灵魂/灵魂
sterft;"gaat dood; sterven-stierf-gestorven";sterft;gaat dood;死亡;现在,
stuurloos;zonder stuur;stuurloos;zonder stuur;无车;无
doden;"dode mensen; de dode";doden;"dode mensen; de dode";杀死;"死亡的人;死者"
bemand;"als personeel; bemannen-bemande-bemand";bemand;als personeel;机组人员;作为员工
dobbelend;spelend met een dobbelstenen (dice/dés/Spielwşrfeln/zar);dobbelend;spelend met een dobbelstenen (dice/dés/Spielwşrfeln/zar);双重的;玩 (dice/dés/Spielwşrfeln/zar)
passeren;"langsgaan, voorbijgaan; passeren-passeerde-gepasseerd";passeren;langsgaan, voorbijgaan;通过;过来,过来
spookachtig;eng, griezelig, waar je bang van wordt;spookachtig;eng, griezelig, waar je bang van wordt;的;恐怖,可怕,你会害怕的
spook (het);"ghost/fantôme/Gespenst/hayalet; spoken";spook;"ghost/fantôme/Gespenst/hayalet; spoken";鬼魂;"子/子/子/子;鬼魂"
tegenkomt;"toevallig ontmoet; tegenkomen-kwam tegen-tegengekomen";tegenkomt;toevallig ontmoet;遇到;偶然见到
muis (de);"mouse/souris/Maus/fare; muizen";muis;"mouse/souris/Maus/fare; muizen";鼠标;"鼠/鼠/鼠/鼠/鼠;鼠"
met man en muis;"met alle mensen en dieren; met alles";met man en muis;"met alle mensen en dieren; met alles";和老鼠;无论是人类,动物,一切都与此相处.
vergaan;"zinken en kapotgaan; vergaan-verging-vergaan";vergaan;zinken en kapotgaan;消失;沉没和破碎
motief (het);"thema, onderwerp; motieven";motief;"thema, onderwerp; motieven";原因;"问题,主题;动机"
componist (de);"iemand die muziek schrijft; componisten";componist;"iemand die muziek schrijft; componisten";音乐家;"一个人写音乐;作曲家"
Flying Dutchmen;Engels: Vliegende Hollanders;Flying Dutchmen;Engels: Vliegende Hollanders;飞行荷兰人;英语:飞行荷兰人
figureert;"speelt een rol; figureren-figureerde-gefigureerd";figureert;speelt een rol;计算;扮演着角色
recentere;nieuwere, van kort geleden;recentere;nieuwere, van kort geleden;最近的;较新,最近
computerspellen;"games/jeux/Spiele/oyunlar op de computer; het computerspel";computerspellen;"games/jeux/Spiele/oyunlar op de computer; het computerspel";计算机游戏;"计算机游戏/游戏/游戏/游戏/游戏;计算机游戏"
schrijfster (de);"vrouw die boeken of artikelen schrijft; schrijfsters";schrijfster;"vrouw die boeken of artikelen schrijft; schrijfsters";作家;"写书或文章的女性;作家"
getiteld;met de titel;getiteld;met de titel;标题:;标题:
verteld;"verhaald; vertellen-vertelde-verteld";verteld;verhaald;告诉我;故事
gaatje (het);klein gat, kleine opening;gaatje;klein gat, kleine opening;子;孔,小孔
dominee;"protestantse pastor; dominees";dominee;"protestantse pastor; dominees";牧师;"基督教牧师;主教"
tegengehouden;"gestopt, geblokkeerd; tegenhouden-hield tegen-tegengehouden";tegengehouden;gestopt, geblokkeerd;暂停;停止,封锁
watersnoodramp (de);grote overstroming met veel doden;watersnoodramp;grote overstroming met veel doden;水灾难;洪水发生了很多人死亡
gered;"beschermd; redden-redde-gered";gered;beschermd;拯救;保护
schoolboekjes;"boeken die op school gebruikt worden; het schoolboekje";schoolboekjes;"boeken die op school gebruikt worden; het schoolboekje";校用书籍;"学校使用的书籍;学校小册子"
hoofdpersoon (de);de belangrijkste persoon;hoofdpersoon;de belangrijkste persoon;主人公;重要人物
verward;"verwisseld; verwarren-verwarde-verward";verward;verwisseld;混;换成
stak;"deed; steken-stak-gestoken";stak;deed;;没有
raasde;waaide heel erg hard;raasde;waaide heel erg hard;的;风非常,非常.
bijzonder;zeer, heel, erg;bijzonder;zeer, heel, erg;特别;非常非常非常非常非常
noordwesterstorm (de);storm vanuit het noordwesten;noordwesterstorm;storm vanuit het noordwesten;东北风暴;风暴来自西北
stormvloed (de);hoog waterniveau door een storm;stormvloed;hoog waterniveau door een storm;暴雨;风暴导致的高水位
zwaar;erg, heel, zeer;zwaar;erg, heel, zeer;重;非常非常非常非常非常
verwaarloosde;"niet goed onderhouden; verwaarlozen-verwaarloosde-verwaarloosd";verwaarloosde;niet goed onderhouden;忽视;没有良好的维护
beruchte;met een slechte naam of reputatie;beruchte;met een slechte naam of reputatie;臭名昭著;有坏名声或名声
golven;"waves/ondes/Wellen/dalga; de golf";golven;"waves/ondes/Wellen/dalga; de golf";波浪;"波/波/波/海;波"
weggevaagd;"kapotgemaakt, zodat er niets overbleef; wegvagen-vaagde weg-weggevaagd";weggevaagd;kapotgemaakt, zodat er niets overbleef;已被删除;破碎了,没有任何东西.
bleef gespaard;werd niet vernietigd;bleef gespaard;werd niet vernietigd;没有钱;没有被摧毁
ergste;grootste, hardste;ergste;grootste, hardste;最糟糕的;最大的,最硬的
geluwd;gaan liggen, was gestopt;geluwd;gaan liggen, was gestopt;的;躺下,停下来
al waren het maar;zelfs als het er maar een paar waren;al waren het maar;zelfs als het er maar een paar waren;尽管;即使只有几个
meubels;"stoelen en tafels en kasten; het meubel";meubels;"stoelen en tafels en kasten; het meubel";其他装饰;"椅子,桌子和柜子;家具"
in de verte;ver weg;in de verte;ver weg;在远处;远远
wiegje (het);"bedje voor een baby; de wieg, wiegen";wiegje;"bedje voor een baby; de wieg, wiegen";子;"婴儿床;婴儿,婴儿"
drijven;"boven op het water blijven; drijven-dreef-gedreven";drijven;boven op het water blijven;漂浮;保持在水上
dichterbij;meer dichtbij;dichterbij;meer dichtbij;接近;更多
verbaasde;"verrast, verwonderd; verbazen-verbaasde-verbaasd";verbaasde;verrast, verwonderd;惊的;惊,惊
menigte (de);"grote groep mensen; menigten of menigtes";menigte;"grote groep mensen; menigten of menigtes";群众;人群或群众
alsof;as if/comme si/als ob/gibi;alsof;as if/comme si/als ob/gibi;像是;其他类型的子
zaak (de);het hele ding;zaak;het hele ding;案件;整个东西
vaartuig (het);"voertuig op het water; vaartuigen";vaartuig;"voertuig op het water; vaartuigen";船舶;"水上车辆;船舶"
binnen handbereik;dichtbij, zodat je het kan aanraken;binnen handbereik;dichtbij, zodat je het kan aanraken;在手续范围内;靠近,让你能触摸它.
pasgeboren;korte tijd geleden geboren;pasgeboren;korte tijd geleden geboren;新生儿;刚刚出生
ongedeerd;niet gewond;ongedeerd;niet gewond;无损;没有受伤
fictie (de);niet echt gebeurd, verzonnen;fictie;niet echt gebeurd, verzonnen;虚构;没有真正发生,是假设的
overleeft;"in een gevaarlijke situatie niet doodgaan; overleven-overleefde-overleefd";overleeft;in een gevaarlijke situatie niet doodgaan;能生存;在危险情况下不死
vast;het is bijna zeker dat het zo is;vast;het is bijna zeker dat het zo is;肯定会;几乎肯定是这样.
sterke;spannend maar moeilijk te geloven;sterke;spannend maar moeilijk te geloven;强;令人兴奋,但难以相信
duiken op;"verschijnen plotseling; opduiken-dook op-opgedoken";duiken op;verschijnen plotseling;潜水;突然出现
spontaan;niet gepland;spontaan;niet gepland;随机;没有计划
variaties;"varianten, andere vormen; de variatie";variaties;"varianten, andere vormen; de variatie";变化;"其他形式;变化"
doen de ronde;circuleren, worden doorverteld;doen de ronde;circuleren, worden doorverteld;走一圈;传递,传递
waarheidsgehalte (het);het niveau van waarheid;waarheidsgehalte;het niveau van waarheid;真理含量;真理的水平
en/of;een van de twee, of allebei;en/of;een van de twee, of allebei;其他类型;两者中的一个,或两者
griezelig;waar je bang van wordt;griezelig;waar je bang van wordt;恐怖的;你会害怕的东西
verteller (de);de man of vrouw die het verhaal vertelt;verteller;de man of vrouw die het verhaal vertelt;讲述者;讲述故事的人
tijger (de);"tiger/tigre/Tiger/kaplan; tijgers";tijger;"tiger/tigre/Tiger/kaplan; tijgers";虎;"////;"
Veluwe (de);gebied met veel bos in de provincie Gelderland;Veluwe;gebied met veel bos in de provincie Gelderland;色;格尔德兰省的森林地区
krokodil (de);"groot reptiel dat in het water leeft; krokodillen";krokodil;"groot reptiel dat in het water leeft; krokodillen";鱼;"大型水中爬行动物;鱼"
riool (het);"buizen onder grond voor afvalwater; riolen";riool;"buizen onder grond voor afvalwater; riolen";污水;"污水管道;"
zeker weten;"absoluut; dat weet ik zeker";zeker weten;"absoluut; dat weet ik zeker";确实可以;我肯定会这样做.
levendiger;interessanter;levendiger;interessanter;更加活;更多的
overleefden;"bleven leven in een gevaarlijke situatie; overleven-overleefde-overleefd";overleefden;bleven leven in een gevaarlijke situatie;幸存者;继续生活在危险的环境中
weleens;ooit, een keer;weleens;ooit, een keer;有时;一次,一次
tijdschrift (het);"magazine, meestal per week of maand; tijdschriften";tijdschrift;"magazine, meestal per week of maand; tijdschriften";杂志;"杂志,通常每周或月;杂志"
voorlezen;"hardop lezen voor iemand anders; voorlezen-las voor-voorgelezen";voorlezen;hardop lezen voor iemand anders;阅读;听着别人大声读
concentreren;"opletten, aandacht geven; concentreren-concentreerde-geconcentreerd";concentreren;opletten, aandacht geven;集中;关注,关注
geheugen (het);"capaciteit om iets te onthouden of zich iets te herinneren; geheugens";geheugen;"capaciteit om iets te onthouden of zich iets te herinneren; geheugens";记忆;"记忆或记忆能力;记忆"
laboratorium (het);"ruimte waar men onderzoek doet; laboratoriums of laboratoria";laboratorium;"ruimte waar men onderzoek doet; laboratoriums of laboratoria";实验室;实验室或实验室
breekt door;"kapotgaan; doorbreken-brak door-doorgebroken";breekt door;kapotgaan;断;破碎
waterbeheer (het);verantwoordelijkheid voor het gebruik van water;waterbeheer;verantwoordelijkheid voor het gebruik van water;管理水;负责使用水
noodgedwongen;omdat er geen andere oplossing is;noodgedwongen;omdat er geen andere oplossing is;强迫;因为没有其他办法
ware;echte, heuse;ware;echte, heuse;实际的;真正的,真实的
specialisten;"mensen die die heel veel weten over heel weinig; de specialist";specialisten;"mensen die die heel veel weten over heel weinig; de specialist";专家;那些对非常少的知识深知的人,
uitdagingen;"moeilijke taken; de uitdaging";uitdagingen;"moeilijke taken; de uitdaging";挑战;"艰难的任务;挑战"
omgebogen;"veranderd; ombuigen-boog om-omgebogen";omgebogen;veranderd;转向;变化
waterbouwkundige;hydraulic/hydraulisch/hydraulique/hidrolic;waterbouwkundige;hydraulic/hydraulisch/hydraulique/hidrolic;水产工程师;液压/液压/液压/液压
specialismen;"een onderwerp waar je heel veel over weet; het specialisme";specialismen;"een onderwerp waar je heel veel over weet; het specialisme";专业;你知道很多关于的专业知识.
achterhaald;ouderwets, niet meer van deze tijd;achterhaald;ouderwets, niet meer van deze tijd;已被追溯;现在的时代已经不过是古老的
waterkering (de);"iets wat het water tegenhoudt (dijk, dam, etc.); waterkeringen";waterkering;"iets wat het water tegenhoudt (dijk, dam, etc.); waterkeringen";水;"阻水的物体 (,水池等);水"
stalen;"gemaakt van staal; steel/Stahl/acier/celik";stalen;"gemaakt van staal; steel/Stahl/acier/celik";钢铁;"钢铁;钢/钢/钢/"
buizen;"tubes/tubes/Röhren/borular; de buis";buizen;"tubes/tubes/Röhren/borular; de buis";管道;"管/管///;管"
fig.;figuur;fig.;figuur;果子.;图表
Eiffeltoren (de);beroemde toren in Parijs uit 1889;Eiffeltoren;beroemde toren in Parijs uit 1889;艾菲尔塔;著名的巴黎塔,1889年
keer zo;16 kg (kilo) is twee keer zo zwaar als 8 kg;keer zo;16 kg (kilo) is twee keer zo zwaar als 8 kg;现在再来吧;16公斤重量是8公斤的两倍
dreigt;"lijkt te komen; dreigen-dreigde-gedreigd";dreigt;lijkt te komen;危及;似乎会出现
constructies;"bouwwerken; de constructie";constructies;"bouwwerken; de constructie";建筑物;"建筑物;建筑"
sluitstuk (het);laatste belangrijke actie;sluitstuk;laatste belangrijke actie;封闭件;最后一个重要行动
overstroming (de);"water uit rivieren of zee dat over het land stroomt; overstromingen";overstroming;"water uit rivieren of zee dat over het land stroomt; overstromingen";洪水;"河流或海水;洪水"
definitief;voor altijd;definitief;voor altijd;终结;永远
bedreiging (de);"gevaar; bedreigingen";bedreiging;"gevaar; bedreigingen";威胁;"危险;威胁"
alternatief (het);"andere oplossing; alternatieven";alternatief;"andere oplossing; alternatieven";其他方法;"其他解决方案;替代方案"
dijkversterkingen;"het verbeteren van dijken (hoger of breder maken); de dijkversterking";dijkversterkingen;"het verbeteren van dijken (hoger of breder maken); de dijkversterking";强化;"提高 (提高或加宽);加强"
optie (de);"keus; opties";optie;"keus; opties";选择;"选择;选择"
getest;"uitgeprobeerd; testen-testte-getest";getest;uitgeprobeerd;测试;试验
orkaan;"zeer harde storm; orkanen";orkaan;"zeer harde storm; orkanen";风;"极大风暴;风"
illustreerden;"lieten zien; illustreren-illustreerde-geïllustreerd";illustreerden;lieten zien;插图;让他们看到
pr;"public relations; de reclame- en voorlichtingsafdeling van een bedrijf";pr;"public relations; de reclame- en voorlichtingsafdeling van een bedrijf";其他;"公共关系;企业的广告和信息部门"
maar meer dan dat…;ik denk niet dat we nog meer kunnen doen;maar meer dan dat…;ik denk niet dat we nog meer kunnen doen;但更重要的是...;我认为我们不能做更多.
Noordpool (de);meest noordelijke deel van de wereld;Noordpool;meest noordelijke deel van de wereld;北极;世界最北方地区
ijskap (de);"dikke laag ijs; ijskappen";ijskap;"dikke laag ijs; ijskappen";冰;"厚厚的冰层;冰"
krimpt;"wordt minder/kleiner; krimpen-kromp-gekrompen";krimpt;wordt minder/kleiner;缩小;变得较小/较小
onnatuurlijk;niet volgens het ritme van de natuur;onnatuurlijk;niet volgens het ritme van de natuur;没有自然的;不符合自然的节奏.
fossiele;van zeer oude plantenresten;fossiele;van zeer oude plantenresten;化石材料;非常古老的植物遗迹
ondergang (de);het einde, hier: van het menselijk bestaan;ondergang;het einde, hier: van het menselijk bestaan;毁灭;终结,这是人类存在的终结.
klimaatsceptici;mensen met een andere visie op de klimaatsverandering dan de genoemde;klimaatsceptici;mensen met een andere visie op de klimaatsverandering dan de genoemde;气候怀疑者;对于气候变化而言,
dramatisch;ernstig, erg;dramatisch;ernstig, erg;剧烈的;严重,严重
daar kan men niet omheen;dat kan men niet ontkennen;daar kan men niet omheen;dat kan men niet ontkennen;没有办法避开;没有人可以否认
wacht (de … wacht een …);krijgen (mij wacht weer een probleem = ik krijg weer een probleem);wacht (de … wacht een …);krijgen (mij wacht weer een probleem = ik krijg weer een probleem);等待 (等待一个...);得到 (我又有一个问题等着我 = 我又有一个问题)
gevecht (het);"strijd; gevechten";gevecht;"strijd; gevechten";战斗;"战斗;战斗"
